企業名,title,cocntent
ZOZO,人事考課制度,"「ZOZOらしさを進化させる人事制度」をコンセプトに、バリュー（ZOZOらしさ）を軸とした人事制度を運用しています。等級定義・バリュー行動・目標に対するパフォーマンス（成果や行動）の総合評価で、処遇を年2回決定。役職と等級が完全連動ではない設計や、等級ごとに細かく設けられた職能給レンジにより、評価結果に応じた柔軟な昇給が可能です。
また、一定の等級からは、マネジメントまたはスペシャリストのキャリアを選択できるため、個人の特性や能力を最大限生かせるキャリア選択と評価実施が可能な仕組みです。"
ZOZO,日々進歩手当,"ZOZOらしさの1つとして掲げている「日々進歩」の実現に向け、昨日より今日、今日より明日と着実に社員一人ひとりが安心して日々進歩できるよう、自己成長を目的に支給される手当です。支給額は、在籍期間が半年経過するごとに2,500円ずつ増額し、最大で月10万円を支給します。"
ZOZO,社内公募制度,新サービスの立ち上げや事業拡大により増員が必要になった際に、該当部署が募集をかけ、社員が自由に応募できる制度です。応募後は、課題や面談等を経て選考に合格すると、部署異動が決定します。（年1回実施）
ZOZO,1on1ミーティング,上長と部下が定期的に1対1でミーティングを実施し、上長が部下の直面している課題の解決や目標達成への支援を行っています。
ZOZO,LYアカデミア,LINEヤフーグループの企業内大学です。グループのトップリーダーが集まるクラスや、グループ会社の社員であれば誰でも参加できるプログラムなどが実施されています。
ZOZO,クラウドトレーニング費用補助制度,AWSのインフラ演習「TCP/IP（Try Cloud Program / Infrastructure Practice）」の利用補助制度です。学習用途として、毎月100ドルまでAWS環境を自由に使用することができ、実際に触れることでコスト管理も意識しながら、スキルアップを目指すことができます。
ZOZO,社会人ドクター制度,会社が認めた場合に、働きながら博士号の取得を希望する者に対し、給与とは別に修了に必要な学費を支援する制度です。
ZOZO,セミナー・カンファレンス参加支援,海外カンファレンスを含む勉強会やセミナーの参加費用（渡航費・現地滞在費含む）を会社で補助しています。
ZOZO,書籍購入支援,業務関連性の高い書籍を購入する際に、会社で費用を負担しています。
ZOZO,各種休暇,慶弔休暇（パートナーの性別にかかわらず結婚と同等の手続き完了時5日、パートナーの出産時3日等）のほかに、子供の看護休暇（中学校就学まで取得可）や介護休暇なども利用できます。
ZOZO,家族時短制度,業務とプライベートをバランスよく充実させるため、育児や介護はもちろん、ペットや同居人など社員が「家族」と認識する人や動物のサポートが必要な場合は、1日最大2時間の時短利用が可能です。時短は30分単位から利用できます。
ZOZO,慶弔見舞金制度,従業員や家族の慶弔時には、祝い金、もしくは見舞金等を支給します。
ZOZO,家族手当,"扶養家族1名につき毎月5,000円が支給されます。"
ZOZO,ベビーシッター利用補助制度,国の助成制度である「ベビーシッター派遣事業」に基づき、ベビーシッター派遣事業割引券を交付する制度。従業員が指定されたベビーシッターのサービスを利用した際に、支払う利用料金の一部または全部を国と会社で負担するものです。
CARTA HOLDINGS,スーパーフレックス&ハイブリッドワーク,チームや業務に合わせて、働く時間帯と場所(リモートワーク/オフィス出社)を選択し使い分けています。パフォーマンスとワークライフバランスを考えて働く時間帯を調整します。
CARTA HOLDINGS,ヒトノワラリー,入社時や異動時、あるいは思い立った時に、1on1形式で行う15〜30分間のフリートークです。基本的に次の人を紹介してもらうラリー形式で、社内では「ヒトノワラリー」として親しまれています。
CARTA HOLDINGS,CARTA CAMP,部署や職種を超えてチームを組み、経営課題を抽出。解決プランを提案します。議論などの準備に約一ヶ月間かけるイベントで、毎年開催しています。最終日の経営陣に向けてプレゼンし、実施可否を決定します。
CARTA HOLDINGS,DASH,誰でも応募できる新規事業開発プログラムです。応募された案はCARTAボードメンバー全員で目を通し、事業化が検討されます。ビジネスコンテストではなく、CARTAの未来を創る事業開発プロセスです。
CARTA HOLDINGS,CARTA EVOLUTiON PROGRAM,持続的な「事業成長」と「事業創出」を目的とした仕組みです。事業のステージを可視化して全社共有。マイルストーン達成時にはインセンティブを設け、祝う文化を促進しています。
CARTA HOLDINGS,バリューフィードバック,CARTAが大切にしている「バリュー」に沿って、役職や所属を超えてフィードバックし合う仕組みです。事業目標からは見えづらい部分がわかり、自身とチームの成長機会として活用されています。
CARTA HOLDINGS,技術力評価会,エンジニアの評価軸の一つである技術力を評価します。裁量とチャレンジに、自身の振り返りと評価会のフィードバック。これらのかけあわせが個人の進化を加速します。多彩な仲間からの視点を吸収する機会です。
CARTA HOLDINGS,DIVE,自ら部署を超えた異動にチャレンジできる機会と支援を提供する制度です。多くの事業があるCARTAだからこそ、自身のキャリアと会社の進化を結びつけるチャンスが広がります。
CARTA HOLDINGS,サークル,共通の興味を介したコミュニケーションとリフレッシュができるサークル制度があります。約20のサークルがあり、活動費の補助があります。参加は任意ですが、社内のつながりづくりに役立っています。
sansan,Know Me,部内、部外のメンバーが三人一組で飲み会やランチをすると、飲食費が補助されます。互いの業務内容やどのような考えを持っているのかを話しながら、気軽に社内交流を図ることができます。お酒を飲まないメンバーにも利用されている制度です。
sansan,Geek Seek,エンジニア職や研究開発職、クリエイター職などのメンバーは、知識の習得や業務効率向上にかかる費用が補助されます。ソフトウエアとハードウエア合わせて年5万円まで必要なものを自由に選んで購入できるほか、書籍の購入費、勉強会の補助、有料イベントの参加費用なども対象です。
sansan,H2O,自宅の最寄り駅が表参道駅または渋谷駅から2駅以内の場合に、家賃にかかる費用の一部として補助が受けられます。通勤のストレスを減らして「生産性を維持したい」「もっと業務に向き合いたい」という声に応えて始まった制度です。
sansan,よいこ,メンバーが自発的に企画、実施する「社内部活動」を後押しします。活動を通して、他部門のメンバーと楽しみながら交流することで、業務でも声を掛けやすくなり、連携も取りやすくなります。参加条件はなく、複数のグループに参加することもできます。
sansan,ブランチ,入社1年目の間、新卒入社のメンバーは「ブラザー」「シスター」と呼ばれる先輩社員とペアを組み、月に1回ランチに行く時間が設けられます。業務の話だけでなく、私生活を含めた社会人生活全般についても相談することができ、自身の成長を促すサポートを受けられます。
sansan,M2O,新卒のメンバーが入社時に表参道駅または渋谷駅から2駅以内に引っ越した場合、新生活を始めるための費用として一律で33万円が支給されます。新生活にかかる費用を会社が一部負担することで、より良いスタートダッシュが切れるように後押しします。
sansan,コーチャ,小学校6年生までの子どもがいるメンバーを対象にした、仕事と子育ての両立を後押しする制度です。ベビーシッターや学童保育、家事代行といった子育てをサポートするサービスの利用や、子どものワクチン接種などに対して、毎月一定額の補助が受けられます。
sansan,OCEAN,英語学習にかかる費用を補助します。英会話のレッスン費やTOEICの受検料、英語学習に必要な雑誌・アプリなどの購入費などが対象です。補助を受けられる期間は1年間と設定されますが、英語スキルが向上していると認められれば期間を延長できます。
sansan,OYACO,小学校6年生までの子どもがいるメンバーを対象にした、仕事と子育ての両立を後押しする制度です。ベビーシッターや学童保育、家事代行といった子育てをサポートするサービスの利用や、子どものワクチン接種などに対して、毎月一定額の補助が受けられます。
リクルート,理由・回数を問わないリモートワーク,一部の職種を除き、理由・回数を問わないリモートワークを全社導入。出社しないことを前提とした働き方へシフトしております。それに伴い、通勤交通費は実費支給※へと変更。これまで認められていなかった、特急料金も条件付きで許可される場合もあります。これにより遠方通勤もしやすくなるなど、働く場所の柔軟性を高めています。
リクルート,年間平均週休約3日,"一人ひとりが自律的かつ柔軟な働き方を実現できるよう、暦上の休日や有給休暇とは別に「フレキシブル休日」として取得する日を自分で決められる休日を設けています。
年間の休みは合計で145日、平均で週休2.8日（約3日）となります。

※年間の休み145日には、会社休日及び年次有給休暇の計画的付与による指定休5日を含みます。"
リクルート,出産育児休暇,妊娠〜育児期間の多様なシーンで活⽤できる休暇です。男性も利⽤可能。初回付与時点での末⼦の年齢と週所定勤務日数に応じて、最⼤40⽇付与されます。お子様が12歳になる年度の、3月末まで利用可能です。
リクルート,ケア休暇,家族のケアの際に使⽤できる休暇です。介護認定不要で、ペットのケアでも取得可能です。週所定勤務日数に応じて、最⼤年5⽇付与されます。
リクルート,ストック休暇,"年次有給休暇の未消化分を、上限40⽇積⽴できる休暇です。

※病気・育児・不妊治療・介護・慶弔・ボランティア等の限定した取得要件があります。"
リクルート,STEP休暇,"在籍3年ごとに1回取得できる休暇です。暦⽇で14〜28⽇（休⽇を含む）の範囲で任意に取得可能です。

※連続で取得することが必須。"
リクルート,アニバーサリー⼿当,4月1日時点で在籍1年以上の社員を対象に、年次有給休暇を連続4日以上利用することで5万円が支給されます。1年度で1回、毎年度利用が可能です。
LINEヤフー,懇親会費用補助,月1回まで、懇親会費用をサポートしています（費用上限あり）。 チーム・部門・プロジェクトといった業務関係者とのコミュニケーションのため、利用を推奨しています。
LINEヤフー,サークル活動,各種サークル活動も盛んで、希望者はサークルへの入部が可能です。 活動サークルは半期ごとに人数・活動内容に応じて、会社から補助金を支給しています。
LINEヤフー,社員の健康維持・向上,会社が実施する健康診断では、法定項目の実施に加え、一部の検査メニューは自己負担なく受診できます。 また健康診断後に再検査が必要になった場合、再検査にかかる費用を会社が負担します（上限2万円/年）。
LINEヤフー,感染症の特別休暇,会社が定めた感染症（インフルエンザ・新型コロナウイルス感染症を含む）に罹患した場合、指定日数分の特別休暇の取得が可能です。
LINEヤフー,選択型確定拠出年金制度,LINEヤフーの選択型確定拠出年金制度とは、会社負担の掛金に加え、加入者である社員が自らの賞与の一部を拠出・運用し、その運用の結果次第で将来受け取る年金額が変動する年金制度です。 少子高齢化が進み公的年金の財政が厳しくなるなか、確定拠出年金の果たす役割は日々高まっています。 LINEヤフーは、社員の豊かな老後を支えるために、この制度を導入しています。
LINEヤフー,財産形成貯蓄制度（財形）,社員の希望する金額を毎月の給与や賞与から天引きし、財形取扱機関に預け入れを行う貯蓄制度です。社員は、定期的な積み立てによる貯蓄ができ、その積立金に加え、会社からの奨励金があります。なお、財形貯蓄には、一般財形・住宅財形・年金財形の3種類があります。
LINEヤフー,株式累積投資制度（るいとう）,毎月一定の金額を継続的に積み立てる形で買い付ける株式投資の方法です。 LINEヤフーでは、福利厚生のひとつとして「るいとう」を利用した株式（LINEヤフー株式会社）の購入を給与からの積み立てで行うことができ、その積立金に加え、会社からの奨励金があります。 長期的な資産形成の手段のひとつとして活用できます。
LINEヤフー,長期所得補償制度,病気やけがで一定の免責期間を超えて仕事ができなくなった場合、標準報酬月額の60％を満60歳まで補償する制度です。 病気やけがで欠勤・休職した場合、健康保険組合から傷病手当金として給与の3分の2が18カ月間支給された後は、収入が途絶えてしまいます。 その期間以降もサポートできるようにしています。
LINEヤフー,総合福祉団体定期保険（遺族生活保障制度）,"社員に不慮の事態が生じた場合に備え、ソフトバンクグループ団体定期保険に加入しています。 保険料は会社が全額負担し、万が一の場合に保険金額（合計1,000万円）を遺族等に支払います。保険金とは別に、子女に対して、会社から加算金を支払います。（小学生以下 500万円/人、中高生 250万円/人）"
LINEヤフー,社員向け研修制度,"希望者にビジネススキル研修と「GLOBIS学び放題」を無償で提供しています。 社員がより主体的にキャリアを考え、さらなる成長に向けた一歩を踏み出せるよう、キャリア研修を通じて、一人ひとりの自己理解の深化、今後のキャリアイメージの具体化をサポートしています。
キャリアステージごとの悩みに応じて、これまでの仕事経験やキャリア資産の振り返り、および自身のキャリア開発の指針を見つけ、ありたい姿を具体化していきます。"
LINEヤフー,LINEヤフーアカデミア,「次世代リーダーの創出」を目的とする企業内大学「LINEヤフーアカデミア」の受講も可能です。 「自立」をテーマに、チームをリード、社会をドライブし活躍する人材になることを目指しています。 LINEヤフーの現経営層である執行役員が各クラスのメンターとなり、受講者と真剣に向き合い、未来を創るリーダー候補の社員を直接指導・支援するのが特徴です。
LINEヤフー,語学研修,業務上必要となる方に英語・韓国語・日本語の語学講座を開講します。 全額会社負担で受講が可能です。
LINEヤフー,マネジメント研修,組織成果最大化の鍵を握る役職者への育成コンテンツを提供しています。
LINEヤフー,社内公募,入社から一定期間が経過した社員を対象に、社内で公開されている募集ポジションに応募できる制度があります。 希望ポジションの選考に合格した場合のみ、応募者の情報が現所属上長に開示され、引き継ぎ等を行ったうえで異動となります。 自らの意思で、キャリアアップや能力開発に生かせます。
LINEヤフー,サバティカル休暇,自らのキャリアや経験、働き方を見つめなおし、考える機会をつくることで、本人のさらなる成長につなげることを目的とした休暇制度です。 勤続10年以上の正社員を対象に、2～3カ月の範囲で取得可能です。 なお、休暇期間中、一定期間は会社が支援金を支給します。
